"Latitude" "Longitude" "Crop" "Se" "Zn" "ph" "N_pct" "org" "Bio1" "Bio12" "TIM"
-15.9500597510486 35.2802191860973 "Maize" 0.02372 24.096 5.74 0.0391 0.5442 217.088729141484 1354.49570288261 11.7317488001607
-15.9985549701377 35.3006530925631 "Maize" 0.29357 24.09 6.07 0.078 1.155 219 1310.02849451515 9.39936939608493
-15.8164080418646 35.1943962089717 "Maize" 0.02403 18.612 5.42 0.1013 1.46 206.395829035621 1287.00444201934 9.42286881052853
-15.8204031921923 35.1916388142854 "Maize" 0.03131 23.707 5.52 0.0437 0.5583 207.26186020612 1271.85449736754 9.87583153189998
-15.8550920756533 35.1228311005979 "Maize" 0.01503 19.715 6.12 0.0991 1.326 202 1290 7.85983376263998
-15.7593547739088 35.11728387326 "Maize" 0.02824 22.693 4.94 0.056 0.794 196.117386100453 1374.88051696769 8.7626315548464
-15.7533873198553 35.1181786414235 "Maize" 0.04943 23.34 5.67 0.0559 0.8384 196.777372174416 1359.28855603048 9.45587495405241
-15.6688055768609 35.2819192036986 "Maize" 0.0125 23.243 6.86 0.0851 1.242 213.485574901884 1224 10.2604325302289
-15.4614071175456 34.8530740477144 "Maize" 0.03355 25.044 7.19 0.0668 0.8276 238 920 9.49305829083611
-15.4054562374949 34.8714622668921 "Maize" 0.01389 22.097 7.14 0.1317 2.0947 235.060971426701 1008.01730434599 12.8469884697078
-15.3617346799001 34.8501646891236 "Maize" 0.28294 21.842 7.47 0.0666 0.8455 235 928.110848085585 9.69942163350649
-15.3361606970429 34.9233671184629 "Maize" 0.011 23.538 7.03 0.0636 0.8117 232.08167871413 1145.97788757717 9.5294495175019
-15.3278979845345 34.8775274958461 "Maize" 0.02956 21.687 6.03 0.052 0.6389 232.012988009329 1050.49346763617 9.0911670813268
-15.4071951471269 34.8079480603337 "Maize" 0.08085 21.505 6.95 0.0309 0.3106 239.276661432532 861.211945406717 10.0805831814863
-15.3995496360585 34.7559433802962 "Maize" 0.06218 22.457 8.15 0.148 1.8212 236 1222.43321219618 8.36456363251992
-15.4179693711921 34.7515529394149 "Maize" 0.02391 20.075 8.48 0.0723 0.7231 237.367756103642 1152.97489811133 10.4197594689583
-15.4209546279162 34.7642964497208 "Maize" 0.0167 19.346 6.84 0.0365 0.4282 239.095353515909 1014.17858786138 11.9114990491913
-15.4831943241879 34.7821594588458 "Maize" 0.13928 26.952 6.96 0.0455 0.5664 240.869605712821 857.398851071272 13.8981221449452
-15.5166819551959 34.6410306729376 "Maize" 0.03612 20.395 7.63 0.159 1.8387 229.204268792648 1019.38797460111 11.7593871329985
-15.4484685184434 34.6573310438543 "Maize" 0.03428 18.556 6.88 0.0958 1.088 217.393650820147 1272.22749223093 10.1391009768925
-15.6336859054863 34.7544353920966 "Maize" 0.03376 23.16 7.71 0.0448 0.5816 244 881.855116662964 10.6721119181485
-15.641761701554 34.6853063162416 "Maize" 0.2527 15.759 7.37 0.0628 1.046 238.670657870409 1200.66320647244 13.0809852276926
-15.7096135430037 34.6751964837312 "Maize" 0.03669 22.685 6.98 0.0416 0.6077 242.505464582223 1087.90137358304 9.23496795066486
-15.7023656694218 34.678095197305 "Maize" 0.05619 18.879 7.32 0.0667 0.7987 241.966793094797 1128.83017263008 12.588869892462
-15.7716198451817 34.7208367008715 "Maize" 0.11074 15.138 7.63 0.0794 1.0264 246 982 9.65251678094309
-15.6305382493883 34.6074630785733 "Maize" 0.48794 22.25 7.37 0.0691 0.9821 238.485620722832 906.143792771685 11.6344465725294
-15.578369074501 34.5979193598032 "Maize" 0.03235 24.179 6.38 0.0422 0.5651 236.582680489223 873.779377984946 8.51295546240196
-15.3934119036421 34.6565150655806 "Maize" 0.01167 19.836 5.38 0.0848 1.104 210 1254 9.92137082694598
-15.3855360578745 34.6504500042647 "Maize" 0.00631 20.598 6.3 0.073 0.9848 212.799759623799 1153.00881379404 8.10256997868588
-15.3965621581301 34.6499901730567 "Maize" 0.00891 26.061 5.57 0.0475 0.5917 210.117613600993 1248.47216075331 9.06269990667241
-15.3903394332155 34.6314763091504 "Maize" 0.00967 21.243 6.02 0.0544 0.7616 216.384722910484 975.050355658942 11.365899086726
-15.2669029170647 34.6205385960638 "Maize" 0.01744 16.517 5.6 0.0778 1.065 190.368757925566 1276.56522498076 10.1023381947168
-15.2770574670284 34.6189046278595 "Maize" 0.02522 14.374 5.76 0.0692 0.9749 189 1289 6.70775625239122
-15.2775464672595 34.7193650063127 "Maize" 0.04058 28.094 6.49 0.0461 0.6086 213.913625827083 1260 9.39160833645493
-15.3206247976049 34.6487747970968 "Maize" 1.21611 20.168 6.08 0.096 1.736 213 985.946500311926 13.3488242562008
-15.3461240977048 34.6528873778879 "Maize" 0.01268 21.489 6.19 0.1156 1.63 210 1085 7.93197150958969
-15.3511382779106 34.6494366321712 "Maize" 0.01065 19.34 6.03 0.0738 1.083 210.574269329537 1079.06244755127 8.27442230177589
-15.3520912164822 34.7314087115228 "Maize" 0.01544 21.77 6.97 0.0933 1.188 211.787200460682 1351.91233625977 7.74540733170665
