"Latitude" "Longitude" "Crop" "SoilSampleID" "Se" "Zn" "Bio1" "Bio12" "EVI" "MB1" "MB2" "MB3" "MB7" "Slope" "TIM" "ph" "org"
8.577265458 37.74337783 "Teff" "GeoN-ETH18-Soil-1407" 0.0775 29.74564907 181 1315 2910 893 2534 494 1323 2.497659683 9.608314514 6.02 1.602
8.589879882 37.85868183 "Teff" "GeoN-ETH18-Soil-1408" 0.0258 30.71111342 177 1240 2955 1011 2725 563 1447 1.96081984 12.14906693 6.96 1.075
8.596010392 38.24118503 "Teff" "GeoN-ETH18-Soil-1422" 0.236902962 26.077128 167 952 1957 923 2002 485 1474 1.626782775 10.46682358 6.75 1.15
8.610850528 38.37958019 "Teff" "GeoN-ETH18-Soil-1404" 0.270449197 31.01132325 170 868 1998 948 2050 520 1465 1.447545409 14.96057796 7.07 1.7459
8.624730811 39.10632282 "Teff" "GeoN-ETH18-Soil-1340" 0.244700495 29.86559456 192 790 1917 1117 2257 548 1780 1.468365192 10.02671337 6.75 1.28
8.638199655 39.73857563 "Teff" "GeoN-ETH18-Soil-2127" 0.27762734 30.59958843 231 673 2634 889 2333 514 1706 0.373536229 10.95324707 8.02 2.1156
8.639267778 39.2644808 "Teff" "GeoN-ETH18-Soil-1347" 0.106159453 27.969609285 175 1119 2361.5 1054 2433 537.5 1739 2.38156724 7.5728468895 6.025 1.6885
8.640079639 39.26539574 "Teff" "GeoN-ETH18-Soil-1346" 0.161065546 26.37776495 175 1119 2370 1057 2441 539 1742 2.578935385 8.053043365 6.07 1.632
8.665578205 37.88564316 "Teff" "GeoN-ETH18-Soil-1409" 0.0505 33.43637512 161 1321 3140 1028 2813 648 1489 3.262988091 11.57036114 5.34 1.903
8.670474366 39.26937794 "Teff" "GeoN-ETH18-Soil-1345" 0.0228 28.36764551 172 1044 2247 1057 2363 541 1669 2.889852762 7.908837795 7.49 1.3006
8.681492131 39.49792936 "Teff" "GeoN-ETH18-Soil-1343" 0.112234634 27.48461932 221 675 2135 1000 2250 453 1631 1.063381076 14.8081131 7.91 2.5997
8.68505521 38.53736885 "Teff" "GeoN-ETH18-Soil-1392" 49999.52605 29.855555595 174 947 1910 1162.5 2280 604.5 1763 2.532755256 9.720860483 6.61 0.82795
8.686662789 38.53627455 "Teff" "GeoN-ETH18-Soil-1391" 0.0521 31.45218556 174 947 1938 1156 2289 601 1767 2.488794804 9.337195396 6.31 1.072
8.697290784 39.43838889 "Teff" "GeoN-ETH18-Soil-1348" 0.587309143 43.15743047 212 792 1846 1120 2185 589 2111 1.041555166 12.81614017 7.67 1.4323
